verdict,direction,url
helt fel,false,https://www.dn.se/nyheter/politik/falskt-pastaende-om-att-sverige-bytt-namn-pa-julen-sprids-internationellt/
helt fel,false,https://www.dn.se/nyheter/politik/nej-sveriges-radio-har-inte-forbjudit-tommy-korbergs-o-helga-natt/
helt fel,false,https://www.dn.se/nyheter/sverige/missvisande-historier-om-installda-luciafiranden-sprids-pa-sociala-medier/
helt fel,false,https://www.dn.se/nyheter/politik/faktiskt-helt-fel-att-mp-vill-beslagta-bostader-och-ge-till-flyktingar/
helt fel,false,https://www.dn.se/nyheter/politik/islam-inte-orsaken-bakom-installd-julkonsert-i-tv4/
mestadels fel,false,https://www.dn.se/nyheter/politik/ingen-grund-for-pastaendet-att-sverige-har-flest-skolbrander/
helt fel,false,https://www.dn.se/nyheter/politik/viral-bild-sprider-felaktiga-siffror-om-antalet-anmalda-valdtakter/
helt sant,true,https://www.dn.se/ekonomi/skattebetalarnas-forening-har-helt-ratt-om-sveriges-bensinskatter/
delvis sant,true,https://www.dn.se/nyheter/politik/pastaenden-om-stockholms-utforsaljningar-stammer-nastan/
helt fel,false,https://www.dn.se/nyheter/politik/nej-dn-och-gp-raderade-inte-artiklar-med-dalai-lamas-citat-om-atervandring/
helt fel,false,https://www.dn.se/nyheter/politik/spridd-namninsamling-om-valfusk-pastas-felaktigt-komma-fran-sd/
helt fel,false,https://www.dn.se/nyheter/politik/faktiskt-helt-fel-att-valse-kraschen-betydde-valfusk/
delvis sant,true,https://www.dn.se/nyheter/politik/delvis-sant-om-hur-manga-som-utvisats-fran-sverige/
helt sant,true,https://www.dn.se/nyheter/politik/sant-att-sd-rostat-for-att-avskaffa-icke-svenska-medborgares-rostratt/
delvis sant,true,https://www.dn.se/nyheter/politik/delvis-sant-att-sverigedemokraterna-vill-avskaffa-det-kommunala-utjamningssystemet/
delvis sant,true,https://www.dn.se/nyheter/politik/delvis-sant-att-pojke-och-flicka-tagits-bort-ur-nya-laroplanen/
helt sant,true,https://www.dn.se/nyheter/politik/delvis-sant-av-finansministern-om-de-rikaste-i-sverige/
mestadels fel,false,https://www.dn.se/nyheter/politik/mestadels-fel-om-sds-arbetsmarknadspolitik/
delvis sant,true,https://www.dn.se/nyheter/politik/delvis-sant-att-borgerligt-styrda-landsting-har-kortare-vardkoer/
delvis sant,true,https://www.dn.se/ekonomi/delvis-sant-om-lofven-och-sveriges-skatter-i-spritt-inlagg/
delvis sant,true,https://www.dn.se/nyheter/politik/delvis-sant-om-hur-manga-som-utvisats-fran-sverige/
helt sant,true,https://www.dn.se/nyheter/politik/sant-att-sd-rostat-for-att-avskaffa-icke-svenska-medborgares-rostratt/
delvis sant,true,https://www.dn.se/nyheter/politik/delvis-sant-att-sverigedemokraterna-vill-avskaffa-det-kommunala-utjamningssystemet/
delvis sant,true,https://www.dn.se/nyheter/politik/delvis-sant-att-pojke-och-flicka-tagits-bort-ur-nya-laroplanen/
helt sant,true,https://www.dn.se/nyheter/politik/delvis-sant-av-finansministern-om-de-rikaste-i-sverige/
mestadels fel,false,https://www.dn.se/nyheter/politik/mestadels-fel-om-sds-arbetsmarknadspolitik/
delvis sant,true,https://www.dn.se/nyheter/politik/delvis-sant-att-borgerligt-styrda-landsting-har-kortare-vardkoer/
delvis sant,true,https://www.dn.se/ekonomi/delvis-sant-om-lofven-och-sveriges-skatter-i-spritt-inlagg/
ingen,unknown,https://www.dn.se/nyheter/politik/livefaktakoll-jonas-sjostedts-tal-i-almedalen/
ingen,unknown,https://www.dn.se/nyheter/politik/livefaktakoll-ulf-kristerssons-tal/
helt fel,false,https://www.dn.se/nyheter/politik/nej-den-har-bilden-visar-inte-bildack-som-atervinns-i-gaza/
helt fel,false,https://www.dn.se/nyheter/politik/nej-den-har-bilden-ar-inte-ett-belagg-for-att-svenska-skolbarn-tvingas-knaboja-och-be-till-allah/
